Name,OName,RAh,RAm,RAs,DE,DEd,DEm,DEs,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,ra,dec,ded
G209.00-19.38,"Orion          ",5,35,15.8,-,5,23,14.1,2.421,0.019,3.13,3.06,-1.1,3.71,3,5,Loc,"43,44,45,57",83.81583333412806,-5.387250000105965,-5
G090.21+02.32,"IRAS21007+495  ",21,2,22.701,+,50,3,8.309,1.483,0.038,-0.67,1.56,-0.9,1.67,-3,5,Loc,"21         ",315.5945875008901,50.05230805555979,50
G107.29+05.63,"IRAS22198+633  ",22,21,26.728,+,63,51,37.92,1.288,0.107,-2.47,1.4,0.26,1.4,-11,5,Loc,"29         ",335.361366669337,63.86053333282471,63
G109.87+02.11,,22,56,18.0559,+,62,1,49.562,1.228,0.024,-1.03,1.3,-2.62,1.33,-7,5,Loc,"30,70      ",344.0752329190572,62.03043388896519,62
G213.70-12.59,,6,7,47.8584,-,6,22,56.586,1.148,0.03,-1.3,1.2,2.2,1.2,11,3,Loc,"1,72       ",91.94940999348957,-6.382384999593099,-6
G105.41+09.87,,21,43,6.481,+,66,6,55.34,1.129,0.063,-0.21,1.2,-5.49,1.2,-10,5,Loc,"21         ",325.7770041664441,66.11537222226461,66
G108.18+05.51,,22,28,51.4117,+,64,13,41.201,1.092,0.018,0.26,1.15,-2.26,1.2,-11,3,Loc,"19         ",337.21421542167667,64.22811138894824,64
G121.29+00.65,"L1287          ",0,36,47.353,+,63,29,2.16,1.077,0.039,-0.86,1.19,-2.29,1.23,-23,5,Loc,"19         ",9.197304169336954,63.48393333335718,63
G176.51+00.20,,5,37,52.1353,+,32,0,3.928,1.038,0.021,1.84,1.0,-5.86,1.0,-17,5,Loc,"21         ",84.46723041534423,32.00109111110369,32
G239.35-05.06,"VYCMa          ",7,22,58.326,-,25,46,3.06,0.855,0.057,-2.8,0.58,2.6,0.58,20,3,Loc,"46,47      ",110.74302500089009,-25.76751666665077,-25
G011.49-01.48,,18,16,22.1327,-,19,41,27.219,0.8,0.033,1.42,0.52,-0.6,0.65,11,3,SgN,"2          ",274.09221958319347,-19.69089416662852,-19
G081.87+00.78,"W75N           ",20,38,36.426,+,42,37,34.8,0.772,0.042,-1.97,0.5,-4.16,0.51,7,3,Loc,"25         ",309.6517749945323,42.62633333312141,42
G076.38-00.61,,20,27,25.4752,+,37,22,48.46,0.77,0.053,-3.73,3.0,-3.84,3.0,-2,5,Loc,"21         ",306.8561466693878,37.38012777752346,37
G351.44+00.65,"NGC6334        ",17,20,54.601,-,35,45,8.62,0.752,0.069,0.31,0.58,-2.17,0.9,-8,3,CrN,"2,76       ",260.22750417391455,-35.752394444412666,-35
G079.73+00.99,"IRAS20290+405  ",20,30,50.673,+,41,2,27.54,0.737,0.062,-2.84,0.79,-4.14,1.06,-3,5,Loc,"25         ",307.7111375013987,41.04098333358765,41
G080.86+00.38,"DR20           ",20,37,0.96,+,41,34,55.7,0.687,0.038,-3.29,0.73,-4.83,0.77,-3,5,Loc,"25         ",309.2539999999106,41.58213888910082,41
G017.63+00.15,,18,22,26.3821,-,13,30,11.951,0.669,0.019,-0.26,1.41,-1.53,1.41,25,10,SgN,"54         ",275.60992541313175,-13.503319722281562,-13
G081.75+00.59,"DR21A          ",20,39,1.993,+,42,24,59.29,0.666,0.035,-2.84,0.45,-3.8,0.47,-3,3,Loc,"25         ",309.75830416679383,42.416469444698755,42
G192.16-03.81,,5,58,13.53,+,16,31,58.9,0.66,0.04,0.7,0.78,-1.8,0.86,5,5,Per,"41         ",89.55637499888738,16.53302777820163,16
G078.12+03.63,"IRAS20126+410  ",20,14,26.07,+,41,13,32.69,0.645,0.03,-2.06,0.84,0.98,0.84,-6,5,Loc,"24,71      ",303.60862499872843,41.225747221840756,41
G008.34-01.00,"VXSgr          ",18,8,4.051,-,22,13,26.566,0.64,0.04,0.36,0.76,-2.92,0.78,5,5,SgN,"64         ",272.0168791671594,-22.224046111106876,-22
G183.72-03.66,,5,40,24.2276,+,23,50,54.728,0.629,0.012,0.38,1.3,-1.32,1.3,3,5,Per,"28         ",85.10094833374023,23.848535555733577,23
G074.03-01.71,"IRAS20231+344  ",20,25,7.1053,+,34,49,57.593,0.629,0.017,-3.79,1.3,-4.88,1.5,5,5,Loc,"21         ",306.2796054164569,34.83266472180684,34
G080.79-01.92,"NMLCyg         ",20,46,25.54,+,40,6,59.4,0.62,0.047,-1.55,0.57,-4.59,0.57,-3,3,Loc,"26         ",311.6064166704814,40.116500000423855,40
G079.87+01.17,"IRAS20286+410  ",20,30,29.144,+,41,15,53.64,0.62,0.027,-3.23,1.3,-5.19,1.3,-5,10,Loc,"21         ",307.6214333295822,41.264899999830455,41
G092.67+03.07,,21,9,21.732,+,52,22,37.08,0.613,0.02,-0.69,1.42,-2.25,1.42,-5,10,Loc,"21         ",317.3405500014623,52.376966667175296,52
G192.60-00.04,"S255           ",6,12,54.01,+,17,59,23.2,0.601,0.039,-0.18,0.6,-0.43,0.6,7,5,Per,"19,50      ",93.22504165967305,17.989777777989705,17
G232.62+00.99,,7,32,9.78,-,16,58,12.8,0.596,0.035,-2.17,0.38,2.09,0.6,21,3,Loc,"40         ",113.04074999888736,-16.970222222275204,-16
G173.48+02.44,,5,39,13.0658,+,35,45,51.281,0.594,0.014,0.62,0.63,-2.34,0.63,-13,5,Per,"58         ",84.80444083213807,35.76424472173055,35
G014.63-00.57,,18,19,15.5407,-,16,29,45.786,0.546,0.022,0.22,1.2,-2.07,1.2,19,5,SgN,"2          ",274.814752916495,-16.496051666471693,-16
G059.47-00.18,,19,43,28.3504,+,23,20,42.522,0.535,0.024,-1.83,1.22,-6.6,1.21,26,3,LoS,"70         ",295.86812667051953,23.34514499982198,23
G037.42+01.51,,18,54,14.3481,+,4,41,39.647,0.532,0.021,-0.45,0.35,-3.69,0.39,41,3,SgN,"2          ",283.5597837487857,4.694346388710869,4
G133.94+01.06,"W3OH           ",2,27,3.819,+,61,52,25.23,0.512,0.01,-1.2,0.32,-0.15,0.32,-47,3,Per,"33,34      ",36.76591250002384,61.87367499987285,61
