recno,Name,OName,RAJ2000,DEJ2000,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,SimbadName,dec,ra
2,G339.88-01.25,,16 52 04.6776,-46 08 34.404,0.48,0.08,-1.6,0.52,-1.9,0.52,-34,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G339.88-01.25,-46.14289,253.01948999999996
3,G348.70-01.04,,17 20 04.0360,-38 58 30.920,0.296,0.026,-0.73,0.31,-2.83,0.59,-9,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G348.70-01.04,-38.975255555555556,260.0168166666666
5,G359.13+00.03,,17 43 25.6109,-29 39 17.551,0.165,0.031,-3.98,0.36,-6.5,0.79,-1,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G359.13+00.03,-29.654875277777776,265.8567120833333
7,G359.93-00.14,,17 46 01.9183,-29 03 58.674,0.181,0.029,-1.33,0.44,-1.8,0.78,-10,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G359.93-00.14,-29.06629833333333,266.50799291666664
10,G000.67-00.03,SgrB2,17 47 20.0000,-28 22 40.000,0.129,0.012,-0.78,0.4,-4.26,0.4,62,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G000.67-00.03,-28.377777777777776,266.8333333333333
15,G006.79-00.25,,18 01 57.7525,-23 12 34.245,0.288,0.021,-0.3,0.3,-1.3,0.31,22,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G006.79-00.25,-23.2095125,270.4906354166667
16,G007.47+00.05,,18 02 13.1823,-22 27 58.981,0.049,0.006,-2.43,0.1,-4.43,0.16,-14,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G007.47+00.05,-22.466383611111112,270.55492625
20,G010.32-00.15,,18 09 01.4549,-20 05 07.854,0.343,0.035,-1.03,0.36,-2.42,0.5,10,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G010.32-00.15,-20.085515,272.25606208333335
21,G010.47+00.02,,18 08 38.2290,-19 51 50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G010.47+00.02,-19.86396166666667,272.15928750000006
23,G010.62-00.38,,18 10 28.5628,-19 55 48.738,0.202,0.019,-0.37,0.5,-0.6,0.25,-3,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G010.62-00.38,-19.930205,272.6190116666666
24,G011.10-00.11,,18 10 28.2470,-19 22 30.216,0.246,0.014,-0.23,0.38,-2.01,0.41,29,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G011.10-00.11,-19.37506,272.6176958333333
27,G012.02-00.03,,18 12 01.8400,-18 31 55.800,0.106,0.008,-4.11,0.11,-7.76,0.28,108,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G012.02-00.03,-18.532166666666665,273.00766666666664
28,G012.68-00.18,W33B,18 13 54.7457,-18 01 46.588,0.416,0.028,-1.0,0.95,-2.85,0.95,58,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G012.68-00.18,-18.029607777777777,273.4781070833333
29,G012.81-00.19,W33M,18 14 14.0600,-17 55 11.300,0.343,0.037,-0.4,0.7,-0.25,0.7,34,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G012.81-00.19,-17.919805555555556,273.55858333333333
32,G012.90-00.26,W33A,18 14 39.5714,-17 52 00.382,0.396,0.032,-0.36,0.4,-2.22,0.4,37,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G012.90-00.26,-17.86677277777778,273.66488083333337
33,G013.71-00.08,,18 15 36.9814,-17 04 32.108,0.264,0.014,-0.29,0.28,-2.16,0.29,44,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G013.71-00.08,-17.075585555555556,273.90408916666667
34,G013.87+00.28,,18 14 35.8356,-16 45 35.869,0.254,0.024,-0.25,2.0,-2.49,2.0,48,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G013.87+00.28,-16.75996361111111,273.649315
38,G015.66-00.49,,18 20 59.7470,-15 33 09.800,0.22,0.029,-1.16,0.24,-5.3,0.3,-4,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G015.66-00.49,-15.552722222222222,275.2489458333333
39,G016.58-00.05,,18 21 09.0840,-14 31 48.556,0.279,0.023,-1.13,0.34,-2.59,0.35,60,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G016.58-00.05,-14.530154444444447,275.28785000000005
42,G017.55-00.12,IRC-10414,18 23 17.9084,-13 42 47.146,0.497,0.038,-0.04,1.04,-2.01,1.04,44,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G017.55-00.12,-13.713096111111112,275.8246183333334
43,G017.63+00.15,,18 22 26.3821,-13 30 11.951,0.669,0.019,-0.26,1.41,-1.53,1.41,25,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G017.63+00.15,-13.503319722222223,275.60992541666667
44,G018.34+01.76,,18 17 58.1254,-12 07 24.893,0.5,0.019,-0.32,0.53,-1.99,0.76,28,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G018.34+01.76,-12.123581388888889,274.49218916666666
45,G018.87+00.05,,18 25 11.3530,-12 27 36.546,0.297,0.049,-0.17,0.32,-1.9,0.37,39,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G018.87+00.05,-12.460151666666667,276.2973041666667
47,G019.36-00.03,,18 26 25.7796,-12 03 53.267,0.352,0.069,-1.12,0.38,-2.5,0.46,27,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G019.36-00.03,-12.064796388888889,276.607415
50,G023.00-00.41,,18 34 40.2800,-09 00 38.360,0.205,0.015,-1.72,0.22,-4.12,0.37,79,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G023.00-00.41,-9.010655555555555,278.66783333333336
51,G023.20-00.37,,18 34 55.1794,-08 49 15.206,0.239,0.034,-1.45,0.5,-3.4,0.51,82,10,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G023.20-00.37,-8.820890555555556,278.7299141666666
53,G023.38+00.18,,18 33 14.3240,-08 23 57.500,0.208,0.025,-1.57,0.23,-3.92,0.26,75,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G023.38+00.18,-8.399305555555555,278.30968333333334
54,G023.43-00.18,,18 34 39.1870,-08 31 25.405,0.17,0.032,-1.93,0.15,-4.11,0.13,97,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G023.43-00.18,-8.52372361111111,278.66327916666665
55,G023.65-00.12,,18 34 51.5650,-08 18 21.305,0.313,0.039,-1.32,0.2,-2.96,0.2,81,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G023.65-00.12,-8.305918055555555,278.71485416666667
56,G023.70-00.19,,18 35 12.3610,-08 17 39.530,0.161,0.024,-3.17,0.18,-6.38,0.21,73,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G023.70-00.19,-8.294313888888889,278.8015041666667
57,G024.63-00.32,,18 37 22.7091,-07 31 42.093,0.242,0.045,-0.31,0.27,-2.73,0.3,43,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G024.63-00.32,-7.528359166666667,279.34462125
58,G024.78+00.08,,18 36 12.5614,-07 12 10.840,0.15,0.016,-2.62,0.16,-5.08,0.2,111,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G024.78+00.08,-7.2030111111111115,279.0523391666667
