        R       Vrot     Vrot-sigmaV     Vrot+sigmaV
       1.3917792     190.2547150     178.8234711     201.6859589
       1.4917792     191.7418823     180.8093872     202.6743774
       1.5917792     181.7410889     166.2818298     197.2003479
       1.6917791     173.7810211     157.3630371     190.1990051
       1.7917792     184.4142151     164.0044861     204.8239441
       1.8917792     195.0743866     176.5151520     213.6336212
       1.9917792     196.8556671     179.6810455     214.0302887
       2.0917792     196.9837952     182.3453369     211.6222534
       2.1917791     190.1963196     174.0888977     206.3037415
       2.2917793     187.2205353     172.4156799     202.0253906
       2.3917792     193.8799591     183.1772766     204.5826416
       2.4917793     199.5760803     185.3661346     213.7860260
       2.5917792     203.9160919     192.2696075     215.5625763
       2.6917791     199.6138153     187.6432037     211.5844269
       2.7917790     195.0769653     180.7238464     209.4300842
       2.8917792     196.0073242     182.1845398     209.8301086
       2.9917793     199.8628235     189.6571045     210.0685425
       3.0917792     203.8210754     197.8228149     209.8193359
       3.1917791     206.1480103     200.1842041     212.1118164
       3.2917790     211.0379944     204.7398529     217.3361359
       3.3917792     211.8141937     207.2294617     216.3989258
       3.4917793     213.1509705     209.0947876     217.2071533
       3.5917792     213.3025360     208.8830109     217.7220612
       3.6917791     213.5506287     208.8526764     218.2485809
       3.7917793     217.5732422     212.9450073     222.2014771
       3.8917792     220.6343231     216.4192810     224.8493652
       3.9917793     226.3722229     219.8589478     232.8854980
       4.0917792     232.5215454     227.9393463     237.1037445
       4.1917791     232.4562836     228.6106567     236.3019104
       4.2917795     231.4813843     226.9081879     236.0545807
       4.3917789     235.0454407     230.4085846     239.6822968
       4.4917793     234.0334473     228.1516418     239.9152527
       4.5917792     228.3800659     219.8071442     236.9529877
       4.6917791     225.6437225     216.1632385     235.1242065
       4.7917795     228.4227600     220.1573486     236.6881714
       4.8917789     234.1841125     228.8732300     239.4949951
       4.9917793     234.1553955     228.3158569     239.9949341
       5.0917792     228.6347198     219.0097046     238.2597351
       5.1917791     225.8609161     216.2236633     235.4981689
       5.2917795     226.4740601     218.9078064     234.0403137
       5.3917789     226.9333649     221.4203491     232.4463806
       5.4917793     229.1755676     224.3811188     233.9700165
       5.5917797     230.7207947     224.0967865     237.3448029
       5.6917791     231.8253479     223.6976929     239.9530029
       5.7917795     233.3948669     227.2751312     239.5146027
       5.8917789     232.9459686     226.5805969     239.3113403
       5.9917793     235.9837189     228.8370819     243.1303558
       6.0917797     239.8383942     232.7026215     246.9741669
