       R (kpc)       Vrot (km/s)     Vrot-sigmaV     Vrot+sigmaV
----------------------------------------------------------------
       1.3917792     185.4312439     172.4013214     198.4611664
       1.4417791     192.0404663     182.0221863     202.0587463
       1.4917792     196.0676117     190.9872894     201.1479340
       1.5417792     192.3339233     181.6904449     202.9774017
       1.5917792     178.7607880     164.9826508     192.5389252
       1.6417792     170.3253326     158.5818024     182.0688629
       1.6917791     169.3884430     153.8575134     184.9193726
       1.7417792     173.8217010     155.6721039     191.9712982
       1.7917792     185.2674713     168.9875488     201.5473938
       1.8417792     198.7625732     179.2343750     218.2907715
       1.8917792     197.8545685     180.5191040     215.1900330
       1.9417791     191.9689331     174.7099152     209.2279510
       1.9917792     196.5565796     177.4500580     215.6631012
       2.0417793     199.4541321     183.4347687     215.4734955
       2.0917792     199.9155731     188.2105865     211.6205597
       2.1417792     192.9299316     180.2013550     205.6585083
       2.1917791     188.2695923     171.4102783     205.1289062
       2.2417793     179.8503418     161.6803894     198.0202942
       2.2917793     178.5827332     164.0759125     193.0895538
       2.3417792     192.5735779     182.8970032     202.2501526
       2.3917792     195.8075714     190.6417999     200.9733429
       2.4417791     194.1957092     182.9783020     205.4131165
       2.4917793     196.4479065     179.1357574     213.7600555
       2.5417790     210.0919342     196.7117615     223.4721069
       2.5917792     206.7657318     196.6056213     216.9258423
       2.6417792     201.5771637     192.6425781     210.5117493
       2.6917791     200.5877686     190.1524963     211.0230408
       2.7417793     196.5345459     182.7785187     210.2905731
       2.7917790     194.6515198     180.5675659     208.7354736
       2.8417792     190.6247864     174.9080505     206.3415222
       2.8917792     197.9360046     184.0615540     211.8104553
       2.9417791     197.8707733     186.2331238     209.5084229
       2.9917793     197.6517334     187.8854675     207.4179993
       3.0417790     203.9961700     198.1031189     209.8892212
       3.0917792     205.1942596     201.1291962     209.2593231
       3.1417792     204.0306091     199.5784302     208.4827881
       3.1917791     203.7055817     199.3444366     208.0667267
       3.2417793     208.8476868     202.9808807     214.7144928
       3.2917790     214.0459595     208.0596313     220.0322876
       3.3417792     212.4690704     207.1510162     217.7871246
       3.3917792     210.1540375     206.5268555     213.7812195
       3.4417791     211.9316254     208.3025055     215.5607452
       3.4917793     214.0035400     210.7038727     217.3032074
       3.5417793     214.2313690     210.0118103     218.4509277
       3.5917792     213.5862579     208.6560364     218.5164795
       3.6417792     212.2144318     208.2372437     216.1916199
       3.6917791     211.9741821     207.8621368     216.0862274
       3.7417793     214.6325378     210.2076721     219.0574036
       3.7917793     218.7232513     214.9589386     222.4875641
       3.8417792     220.3721771     217.8802948     222.8640594
       3.8917792     219.4216156     216.5443420     222.2988892
       3.9417791     220.8569794     217.0212555     224.6927032
       3.9917793     226.0537567     221.3584290     230.7490845
       4.0417795     231.7375946     227.3377380     236.1374512
       4.0917792     234.4101257     230.8830261     237.9372253
       4.1417789     233.7349091     231.1519928     236.3178253
       4.1917791     233.4203796     230.8122864     236.0284729
       4.2417793     230.4318237     225.8383789     235.0252686
       4.2917795     229.0691376     225.0560760     233.0821991
       4.3417792     232.6217499     229.0119324     236.2315674
       4.3917789     236.5582733     233.2969208     239.8196259
       4.4417791     238.3119049     234.9727173     241.6510925
       4.4917793     234.8259888     230.1873474     239.4646301
       4.5417795     230.5486145     225.9491577     235.1480713
       4.5917792     227.8393555     220.8940582     234.7846527
       4.6417789     225.7970581     214.3667450     237.2273712
       4.6917791     224.4888763     214.6283875     234.3493652
       4.7417793     225.0043182     217.1381836     232.8704529
       4.7917795     226.8275146     218.5897675     235.0652618
       4.8417792     232.2008514     227.0001831     237.4015198
       4.8917789     235.8976288     233.1063843     238.6888733
       4.9417791     236.9262390     234.9506836     238.9017944
       4.9917793     235.1547699     232.1977539     238.1117859
       5.0417795     232.7319794     226.1971588     239.2667999
       5.0917792     227.5393829     217.3160248     237.7627411
       5.1417789     224.3638306     214.4626160     234.2650452
       5.1917791     224.9042206     214.5274658     235.2809753
       5.2417793     226.9680786     218.0340881     235.9020691
       5.2917795     227.1265411     220.3260193     233.9270630
       5.3417792     225.6974030     219.1367493     232.2580566
       5.3917789     226.3526306     221.3251953     231.3800659
       5.4417791     227.7650452     223.7021027     231.8279877
       5.4917793     229.0660858     225.1743164     232.9578552
       5.5417795     231.2349701     226.9871063     235.4828339
       5.5917797     230.9243011     224.9079132     236.9406891
       5.6417789     230.4169464     222.0334320     238.8004608
       5.6917791     231.0450439     221.2219849     240.8681030
       5.7417793     233.6430054     226.8011169     240.4848938
       5.7917795     234.4391174     230.6307068     238.2475281
       5.8417797     233.5308228     228.5454407     238.5162048
       5.8917789     230.9815063     223.7728271     238.1901855
       5.9417791     232.6994171     226.2413940     239.1574402
       5.9917793     235.0802460     229.1703644     240.9901276
       6.0417795     239.6039886     233.1641541     246.0438232
       6.0917797     241.9940338     235.3775482     248.6105194
