       Radius (kpc)   Tb (K)          Tb-sigma T       Tb+sigma T
-----------------------------------------------------------------
       1.3891852       0.2482546      -2.2099016       2.7064106
       1.3941852      -0.1914309      -2.4306254       2.0477633
       1.3991852      -0.2748729      -2.3171716       1.7674257
       1.4041852       0.0964256      -1.8502486       2.0430999
       1.4091852       0.5634567      -1.3354839       2.4623971
       1.4141852       0.7673156      -1.1366100       2.6712410
       1.4191852       0.6411192      -1.2251948       2.5074334
       1.4241852       0.4780489      -1.2115179       2.1676159
       1.4291852       0.6198629      -0.9879441       2.2276697
       1.4341851       1.0965328      -0.7864392       2.9795048
       1.4391851       1.7891542      -0.6053377       4.1836462
       1.4441851       2.5780337      -0.2291048       5.3851719
       1.4491851       3.1269927       0.2087770       6.0452085
       1.4541852       3.0835230       0.2510645       5.9159813
       1.4591852       2.6174567      -0.0109770       5.2458906
       1.4641852       2.0894501      -0.3347867       4.5136871
       1.4691852       1.6359385      -0.6838006       3.9556775
       1.4741852       1.3921459      -0.8458102       3.6301019
       1.4791852       1.3043654      -0.7797611       3.3884919
       1.4841852       1.1212769      -0.7191815       2.9617352
       1.4891852       0.9441026      -0.7296365       2.6178417
       1.4941852       1.1113918      -0.7148517       2.9376354
       1.4991852       1.4878744      -0.7028216       3.6785703
       1.5041852       1.4878674      -1.1345577       4.1102924
       1.5091852       0.9690489      -1.8959442       3.8340421
       1.5141852       0.5661393      -2.1897957       3.3220742
       1.5191852       0.8251075      -1.7726990       3.4229140
       1.5241852       1.5234687      -0.8473635       3.8943009
       1.5291852       2.1134164       0.1792758       4.0475569
       1.5341852       2.2965667       0.7682405       3.8248930
       1.5391852       2.0621402       0.6031092       3.5211711
       1.5441852       1.6115550       0.0860655       3.1370444
       1.5491852       1.2326325      -0.2850462       2.7503114
       1.5541852       0.9450417      -0.6230732       2.5131564
       1.5591851       0.5939287      -1.0724193       2.2602768
       1.5641851       0.2515102      -1.4033501       1.9063704
       1.5691851       0.0859874      -1.4741342       1.6461091
       1.5741851       0.1226874      -1.4087915       1.6541662
       1.5791852       0.2366385      -1.4244452       1.8977222
       1.5841851       0.2952540      -1.5871345       2.1776423
       1.5891852       0.3653574      -1.6353681       2.3660829
       1.5941852       0.5125170      -1.3693379       2.3943720
       1.5991852       0.6200075      -0.9832504       2.2232654
       1.6041852       0.6669801      -0.7424725       2.0764327
       1.6091852       0.7372436      -0.6756404       2.1501276
       1.6141852       0.7799287      -0.7239164       2.2837739
       1.6191852       0.6899754      -0.8899348       2.2698855
       1.6241852       0.4938695      -1.0737402       2.0614793
       1.6291852       0.3031285      -1.1823108       1.7885678
       1.6341852       0.2622490      -1.2411134       1.7656114
       1.6391852       0.4973105      -1.2061341       2.2007551
       1.6441852       0.8857865      -0.9918956       2.7634685
       1.6491852       1.0968981      -0.8225187       3.0163150
       1.6541852       1.0170954      -0.8516064       2.8857973
       1.6591852       0.8523375      -0.8781708       2.5828459
       1.6641852       0.7342017      -0.8183833       2.2867868
       1.6691852       0.6133342      -0.7877390       2.0144074
       1.6741852       0.4915197      -0.8658963       1.8489358
       1.6791852       0.3887933      -1.0411661       1.8187525
       1.6841851       0.2197656      -1.2510483       1.6905794
       1.6891851      -0.0692288      -1.4447225       1.3062648
       1.6941853      -0.3618303      -1.5803889       0.8567284
       1.6991851      -0.5081588      -1.6594615       0.6431439
       1.7041852      -0.4703281      -1.6793612       0.7387050
       1.7091851      -0.2685148      -1.6025540       1.0655245
       1.7141852       0.0488473      -1.3751737       1.4728683
       1.7191851       0.3605756      -1.0759921       1.7971435
       1.7241852       0.5984628      -0.8469276       2.0438533
       1.7291852       0.7939313      -0.6523433       2.2402060
       1.7341852       0.9205323      -0.4784220       2.3194866
       1.7391852       0.9752740      -0.4457434       2.3962915
       1.7441852       1.1260425      -0.4804384       2.7325234
       1.7491852       1.4701248      -0.3176363       3.2578859
       1.7541852       1.7872149      -0.0250840       3.5995138
       1.7591852       1.8053342       0.0395542       3.5711141
       1.7641852       1.5028607      -0.2247039       3.2304254
       1.7691852       1.0643388      -0.6199871       2.7486649
       1.7741852       0.7373794      -0.8948147       2.3695734
       1.7791852       0.6489918      -0.8931767       2.1911602
       1.7841852       0.7214510      -0.6299852       2.0728872
       1.7891852       0.7772026      -0.3710973       1.9255025
       1.7941852       0.6771546      -0.4302307       1.7845399
       1.7991852       0.4674439      -0.6766526       1.6115403
       1.8041852       0.3481384      -0.7740505       1.4703274
       1.8091851       0.3835757      -0.6776749       1.4448262
       1.8141851       0.3917854      -0.6242979       1.4078686
       1.8191851       0.2319034      -0.8138857       1.2776926
       1.8241851       0.0304658      -1.1058848       1.1668165
       1.8291852      -0.0487203      -1.3146878       1.2172471
       1.8341851      -0.0810808      -1.4073293       1.2451677
       1.8391852      -0.1830171      -1.4247941       1.0587598
       1.8441851      -0.2855253      -1.3693094       0.7982590
       1.8491852      -0.3339176      -1.3261155       0.6582803
       1.8541852      -0.3734147      -1.4014745       0.6546451
       1.8591852      -0.3771452      -1.5313973       0.7771070
       1.8641852      -0.2747113      -1.6011103       1.0516876
       1.8691852      -0.0880755      -1.6627225       1.4865714
       1.8741852       0.1814195      -1.7204819       2.0833209
       1.8791852       0.5894479      -1.5456102       2.7245061
       1.8841852       1.0069460      -1.0749799       3.0888720
       1.8891852       1.1492994      -0.6454090       2.9440079
       1.8941852       0.9519911      -0.5338540       2.4378362
       1.8991852       0.6078833      -0.6807420       1.8965085
       1.9041852       0.2395062      -1.0077914       1.4868037
       1.9091852      -0.1141255      -1.4217879       1.1935369
       1.9141852      -0.3558134      -1.7757056       1.0640788
       1.9191852      -0.4890642      -2.1015930       1.1234647
       1.9241852      -0.6530666      -2.6514330       1.3453000
       1.9291852      -0.7313247      -3.4038012       1.9411519
       1.9341853      -0.3663460      -3.8662062       3.1335139
       1.9391851       0.4123160      -3.5797307       4.4043627
       1.9441853       1.0522768      -2.7710001       4.8755541
       1.9491851       1.1484240      -2.0998335       4.3966813
       1.9541852       0.8303921      -1.9772046       3.6379888
